Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,,
2025,HYY39,024,Custom Cadillac Fleetwood (2nd Color),Red EditionTarget Exclusive,2/12,Picture,2025_Red_EditionTarget_Exclusive_49.jpg,,,
2025,,024,Custom Cadillac Fleetwood (3rd Color),Rod Squad,1/10,Picture,2025_Rod_Squad_50.jpg,,,
2025,HYW78,025,Max Steel,Rod Squad,2/10,Picture,2025_Rod_Squad_51.jpg,,,
2025,HYX53,025,Max Steel (2nd Color),Rod Squad,2/10,Picture,2025_Rod_Squad_52.jpg,,,
2025,HYW79,026,Nissan Skyline 2000GT-R LBWK,HW J-Imports,1/5,Picture,2025_HW_J-Imports_53.jpg,,,
2025,HYY30,026,Nissan Skyline 2000GT-R LBWK (2nd Color),HW J-ImportsKroger Exclusive,1/5,Picture,2025_HW_J-ImportsKroger_Exclusive_54.jpg,,,
2025,HYX54,026,Nissan Skyline 2000GT-R LBWK (3rd Color),HW J-Imports,1/5,Picture,2025_HW_J-Imports_55.jpg,,,
2025,HYW80,027,Twin Mill Gen-E,HW Celebration RacersChinese New Year,1/10,Picture,2025_HW_Celebration_RacersChinese_N_56.jpg,,,
2025,HYW81,028,'90 Honda Civic EF,HW: '70s vs. '90s,1/10,Picture,2025_HW:_'70s_vs._'90s_57.jpg,,,
2025,HYY38,028,'90 Honda Civic EF (2nd Color),Red EditionTarget Exclusive,1/12,Picture,2025_Red_EditionTarget_Exclusive_58.jpg,,,
2025,HYX90,028,'90 Honda Civic EF (3rd Color),HW: '70s vs. '90s,1/10,Picture,2025_HW:_'70s_vs._'90s_59.jpg,,,
2025,HYW82,029,'94 Audi Avant RS2,HW: '70s vs. '90s,2/10,Picture,2025_HW:_'70s_vs._'90s_60.jpg,,,
2025,HYX60,029,'94 Audi Avant RS2 (2nd Color),HW: '70s vs. '90s,2/10,Picture,2025_HW:_'70s_vs._'90s_61.jpg,,,
2025,HYW83,030,Standard Kart,HW Screen Time,3/10,Picture,2025_HW_Screen_Time_62.jpg,,,
2025,HYW84,031,X-34 Landspeeder,HW Screen Time,4/10,Picture,2025_HW_Screen_Time_63.jpg,,,
2025,JBC21,032,Fish'd & Chip'd,HW Designed ByTreasure Hunt,2/5,Picture,2025_HW_Designed_ByTreasure_Hunt_64.jpg,,,
2025,HYW85,033,Fiat 500e,HW EV,3/10,Picture,2025_HW_EV_65.jpg,,,
2025,HYW19,034,Ford Mustang GTD,Mustang 60thNew for 2025!,1/5,Picture,2025_Mustang_60thNew_for_2025!_66.jpg,,,
2025,JBB93,034,Ford Mustang GTD (2nd Color),Mustang 60thNew for 2025!,1/5,Picture,2025_Mustang_60thNew_for_2025!_67.jpg,,,
2025,HYY87,035,The Vanster,HW Art Cars,3/10,Picture,2025_HW_Art_Cars_68.jpg,,,
2025,HYX65,035,The Vanster (2nd Color),HW Art Cars,3/10,Picture,2025_HW_Art_Cars_69.jpg,,,
2025,HYW88,036,DMC DeLorean,HW Art Cars,5/10,Picture,2025_HW_Art_Cars_70.jpg,,,
2025,HYX59,036,DMC DeLorean (2nd Color),HW Art Cars,5/10,Picture,2025_HW_Art_Cars_71.jpg,,,
2025,HYW89,037,Crescendo,X-Raycers,3/10,Picture,2025_X-Raycers_72.jpg,,,
2025,HYX85,037,Crescendo (2nd Color),X-Raycers,3/10,Picture,2025_X-Raycers_73.jpg,,,
2025,HYW90,038,Proton Saga,Factory Fresh,3/5,Picture,2025_Factory_Fresh_74.jpg,,,
2025,HYW91,039,2020 Ram 1500 Rebel,HW First Response,3/5,Picture,2025_HW_First_Response_75.jpg,,,
2025,HYY42,039,2020 Ram 1500 Rebel (2nd Color),Red EditionTarget Exclusive,5/12,Picture,2025_Red_EditionTarget_Exclusive_76.jpg,,,
2025,HYW92,040,Donut Drifter,Hot Wheels Let's Race,2/5,Picture,2025_Hot_Wheels_Let's_Race_77.jpg,,,
2025,HYW93,041,Lamborghini Huracán Sterrato,Safari Mode,1/5,Picture,2025_Safari_Mode_78.jpg,,,
2025,HYY45,041,Lamborghini Huracán Sterrato (2nd Color),Red EditionTarget Exclusive,8/12,Picture,2025_Red_EditionTarget_Exclusive_79.jpg,,,
2025,HYW17,042,Haulerback,HW Hot TrucksNew for 2025!,3/10,Picture,2025_HW_Hot_TrucksNew_for_2025!_80.jpg,,,
2025,HYX68,042,Haulerback (2nd Color),HW Hot TrucksNew for 2025!,3/10,Picture,2025_HW_Hot_TrucksNew_for_2025!_81.jpg,,,
2025,HYW94,043,'80 El Camino,HW Hot Trucks,4/10,Picture,2025_HW_Hot_Trucks_82.jpg,,,
2025,HYW95,044,1988 Jeep Wagoneer,HW Hot Trucks,5/10,Picture,2025_HW_Hot_Trucks_83.jpg,,,
2025,HYY13,044,1988 Jeep Wagoneer (2nd Color - Zamac),HW Hot TrucksWalmart Exclusive,5/10,Picture,2025_HW_Hot_TrucksWalmart_Exclusive_84.jpg,,,
2025,HYW96,045,'55 Chevy,Rod Squad,3/10,Picture,2025_Rod_Squad_85.jpg,,,
2025,HYY15,045,'55 Chevy (2nd Color - Zamac),Rod SquadWalmart Exclusive,3/10,Picture,2025_Rod_SquadWalmart_Exclusive_86.jpg,,,
2025,HYW97,046,Hirohata Merc,Rod Squad,4/10,Picture,2025_Rod_Squad_87.jpg,,,
