Year,Toy #,Col.#,Model Name,Series,Series #,Photo,Bild,,,
2024,HTD76,155,'63 Studebaker Champ (2nd Color),HW Hot Trucks,9/10,,2024_HW_Hot_Trucks_666.jpg,,,
2024,HRY71,156,Mazda RX-3,HW J-ImportsNew for 2024!,7/10,,2024_HW_J-ImportsNew_for_2024!_667.jpg,,,
2024,HTD77,156,Mazda RX-3 (2nd Color),HW J-ImportsNew for 2024!,7/10,,2024_HW_J-ImportsNew_for_2024!_668.jpg,,,
2024,HTC58,157,'64 Chevy Chevelle SS,Muscle Mania,2/5,,2024_Muscle_Mania_669.jpg,,,
2024,HTD79,157,'64 Chevy Chevelle SS (2nd Color),Muscle Mania,2/5,,2024_Muscle_Mania_670.jpg,,,
2024,HRY73,158,Porsche 904 Carrera GTS,HW ExoticsNew for 2024!,1/10,,2024_HW_ExoticsNew_for_2024!_671.jpg,,,
2024,HTD94,158,Porsche 904 Carrera GTS (2nd Color),HW ExoticsNew for 2024!,1/10,,2024_HW_ExoticsNew_for_2024!_672.jpg,,,
2024,HTF23,159,Honda Super Cub Custom,HW MetroTreasure Hunt,7/10,,2024_HW_MetroTreasure_Hunt_673.jpg,,,
2024,HTB19,160,Total Disposal,HW Metro,8/10,,2024_HW_Metro_674.jpg,,,
2024,HTD84,160,Total Disposal (2nd Color),HW Metro,8/10,,2024_HW_Metro_675.jpg,,,
2024,HTB40,161,'70 Dodge Charger,Tooned,1/5,,2024_Tooned_676.jpg,,,
2024,HTD86,161,'70 Dodge Charger (2nd Color),Tooned,1/5,,2024_Tooned_677.jpg,,,
2024,HTB47,162,Dessert Drifter,Fast Foodie,2/5,,2024_Fast_Foodie_678.jpg,,,
2024,HTD87,162,Dessert Drifter (2nd Color),Fast Foodie,2/5,,2024_Fast_Foodie_679.jpg,,,
2024,HTB78,163,Speed Bump,HW Art CarsNew in Mainline,9/10,,2024_HW_Art_CarsNew_in_Mainline_680.jpg,,,
2024,HTD90,163,Speed Bump (2nd Color),HW Art CarsNew in Mainline,9/10,,2024_HW_Art_CarsNew_in_Mainline_681.jpg,,,
2024,HRY82,164,Mailed It!,HW Art CarsNew for 2024!,10/10,,2024_HW_Art_CarsNew_for_2024!_682.jpg,,,
2024,HTD91,164,Mailed It! (2nd Color),HW Art CarsNew for 2024!,10/10,,2024_HW_Art_CarsNew_for_2024!_683.jpg,,,
2024,HTB85,165,McLaren P1,Quarter Mile Heroes,1/5,,2024_Quarter_Mile_Heroes_684.jpg,,,
2024,HTF65,165,McLaren P1 (2nd Color),Quarter Mile HeroesKroger Exclusive,1/5,,2024_Quarter_Mile_HeroesKroger_Excl_685.jpg,,,
2024,HTD92,165,McLaren P1 (3rd Color),Quarter Mile Heroes,1/5,,2024_Quarter_Mile_Heroes_686.jpg,,,
2024,HRY75,166,Later Crater,HW Reverse RakeNew for 2024!,5/5,,2024_HW_Reverse_RakeNew_for_2024!_687.jpg,,,
2024,HTC11,167,Duck N' Roll,Hot Wheels Let's Race,5/5,,2024_Hot_Wheels_Let's_Race_688.jpg,,,
2024,HRY79,168,Rink Racer,HW Ride-OnsNew for 2024!,5/5,,2024_HW_Ride-OnsNew_for_2024!_689.jpg,,,
2024,HTF11,168,Rink Racer (2nd Color),HW Ride-OnsNew for 2024!,5/5,,2024_HW_Ride-OnsNew_for_2024!_690.jpg,,,
2024,HTC45,169,Mitsubishi Pajero Evolution,HW J-Imports,8/10,,2024_HW_J-Imports_691.jpg,,,
2024,HTF38,169,Mitsubishi Pajero Evolution,HW J-ImportsSuper Treasure Hunt,8/10,,2024_HW_J-ImportsSuper_Treasure_Hun_692.jpg,,,
2024,HTC46,170,'95 Mazda RX-7,HW J-Imports,9/10,,2024_HW_J-Imports_693.jpg,,,
2024,HTD97,170,'95 Mazda RX-7 (2nd Color),HW J-Imports,9/10,,2024_HW_J-Imports_694.jpg,,,
2024,HTF69,170,'95 Mazda RX-7 (3rd Color),HW J-ImportsKroger Exclusive,9/10,,2024_HW_J-ImportsKroger_Exclusive_695.jpg,,,
2024,HTC59,171,'69 Mercury Cougar Eliminator,Muscle Mania,3/5,,2024_Muscle_Mania_696.jpg,,,
2024,HTD98,171,'69 Mercury Cougar Eliminator (2nd Color),Muscle Mania,3/5,,2024_Muscle_Mania_697.jpg,,,
2024,HRY70,172,Porsche 911 Rallye,HW TurboNew for 2024!,5/5,,2024_HW_TurboNew_for_2024!_698.jpg,,,
2024,HTB01,173,24/Seven,HW Celebration RacersInternational Friendship Day,9/10,,2024_HW_Celebration_RacersInternati_699.jpg,,,
2024,HTB03,174,'96 Porsche Carrera,HW: The '90s,1/10,,2024_HW:_The_'90s_700.jpg,,,
2024,HTF01,174,'96 Porsche Carrera (2nd Color),HW: The '90s,1/10,,2024_HW:_The_'90s_701.jpg,,,
2024,HTB04,175,'90 Acura NSX,HW: The '90s,2/10,,2024_HW:_The_'90s_702.jpg,,,
2024,HTF53,175,'90 Acura NSX (2nd Color - Zamac),HW: The '90sWalmart Exclusive,2/10,,2024_HW:_The_'90sWalmart_Exclusive_703.jpg,,,
2024,HTF02,175,'90 Acura NSX (3rd Color),HW: The '90s,2/10,,2024_HW:_The_'90s_704.jpg,,,
2024,HTB20,176,Dragtor,HW Metro,9/10,,2024_HW_Metro_705.jpg,,,
2024,HTF04,176,Dragtor (2nd Color),HW Metro,9/10,,2024_HW_Metro_706.jpg,,,
2024,HTB23,177,Batman: The Animated Series,Batman,5/5,,2024_Batman_707.jpg,,,
2024,HTB24,178,Mercedes-Benz Unimog 1300L,HW Dirt,1/10,,2024_HW_Dirt_708.jpg,,,
2024,HTF54,178,Mercedes-Benz Unimog 1300L (2nd Color - Zamac),HW DirtWalmart Exclusive,1/10,,2024_HW_DirtWalmart_Exclusive_709.jpg,,,
2024,HTF05,178,Mercedes-Benz Unimog 1300L (3rd Color),HW Dirt,1/10,,2024_HW_Dirt_710.jpg,,,
2024,HTB25,179,Rally Speciale,HW Dirt,2/10,,2024_HW_Dirt_711.jpg,,,
2024,HTF06,179,Rally Speciale (2nd Color),HW Dirt,2/10,,2024_HW_Dirt_712.jpg,,,
2024,HYY25,179,Rally Speciale (3rd Color),HW DirtDollar General Exclusive,2/10,,2024_HW_DirtDollar_General_Exclusiv_713.jpg,,,
2024,HTB39,180,Grumobile,HW Screen Time,10/10,,2024_HW_Screen_Time_714.jpg,,,
2024,HTB53,181,Shelby Cobra 427 S/C,HW Rolling Metal,1/5,,2024_HW_Rolling_Metal_715.jpg,,,
2024,HTB93,182,Chrysler Pacifica,HW Vans,1/5,,2024_HW_Vans_716.jpg,,,
2024,HTF24,183,Bone Shaker,HW Track ChampsTreasure Hunt,3/5,,2024_HW_Track_ChampsTreasure_Hunt_717.jpg,,,
2024,HTC21,184,2020 Koenigsegg Jesko,HW Exotics,2/10,,2024_HW_Exotics_718.jpg,,,
2024,HTF07,184,2020 Koenigsegg Jesko (2nd Color),HW Exotics,2/10,,2024_HW_Exotics_719.jpg,,,
2024,HTC22,185,Bugatti Bolide,HW Exotics,3/10,,2024_HW_Exotics_720.jpg,,,
2024,HTF08,185,Bugatti Bolide (2nd Color),HW Exotics,3/10,,2024_HW_Exotics_721.jpg,,,
2024,HTB35,186,Bumblebee,HW Screen Time,9/10,,2024_HW_Screen_Time_722.jpg,,,
2024,HTF09,186,Bumblebee (2nd Color),HW Screen Time,9/10,,2024_HW_Screen_Time_723.jpg,,,
2024,HRY84,187,Kowloon'd Hypervan,HW MetroNew for 2024!,10/10,,2024_HW_MetroNew_for_2024!_724.jpg,,,
2024,HRY76,188,'67 Lotus Type 49,HW Race DayNew for 2024!,8/10,,2024_HW_Race_DayNew_for_2024!_725.jpg,,,
2024,HTD99,188,'67 Lotus Type 49 (2nd Color),HW Race DayNew for 2024!,8/10,,2024_HW_Race_DayNew_for_2024!_726.jpg,,,
2024,HRY74,189,Track Dwagon,HW Track ChampsNew for 2024!,4/5,,2024_HW_Track_ChampsNew_for_2024!_727.jpg,,,
2024,HTF12,189,Track Dwagon (2nd Color),HW Track ChampsNew for 2024!,4/5,,2024_HW_Track_ChampsNew_for_2024!_728.jpg,,,
2024,HRY62,190,1966 Triumph Tiger 100,Factory FreshNew for 2024!,10/10,,2024_Factory_FreshNew_for_2024!_729.jpg,,,
2024,HTD43,190,1966 Triumph Tiger 100 (2nd Color),Factory FreshNew for 2024!,10/10,,2024_Factory_FreshNew_for_2024!_730.jpg,,,
2024,HTC65,191,Nissan Skyline 2000GT-R LBWK,Then and Now,1/10,,2024_Then_and_Now_731.jpg,,,
2024,HTC66,192,'84 Mustang SVO,Then and Now,2/10,,2024_Then_and_Now_732.jpg,,,
2024,HRY66,193,Formula E Gen3,HW Race DayNew for 2024!,9/10,,2024_HW_Race_DayNew_for_2024!_733.jpg,,,
2024,HTB05,194,'92 Ford Mustang,HW: The '90s,3/10,,2024_HW:_The_'90s_734.jpg,,,
2024,HTB06,195,'92 BMW M3,HW: The '90s,4/10,,2024_HW:_The_'90s_735.jpg,,,
2024,HTF82,195,'92 BMW M3 (2nd Color),Red EditionTarget Exclusive,10/12,,2024_Red_EditionTarget_Exclusive_736.jpg,,,
2024,HRY78,196,'22 Ford Maverick Custom,HW Hot TrucksNew for 2024!,10/10,,2024_HW_Hot_TrucksNew_for_2024!_737.jpg,,,
2024,HTB26,197,Ducati DesertX,HW Dirt,3/10,,2024_HW_Dirt_738.jpg,,,
2024,HTB27,198,'20 Toyota Tacoma,HW Dirt,4/10,,2024_HW_Dirt_739.jpg,,,
2024,HTF83,198,'20 Toyota Tacoma (2nd Color),Red EditionTarget Exclusive,11/12,,2024_Red_EditionTarget_Exclusive_740.jpg,,,
2024,HTB41,199,Porsche 911 Turbo 3.6 (964),Tooned,2/5,,2024_Tooned_741.jpg,,,
2024,HTF84,199,Porsche 911 Turbo 3.6 (964),Red EditionTarget Exclusive,12/12,,2024_Red_EditionTarget_Exclusive_742.jpg,,,
2024,HTF25,200,Car-de-Asada,Fast FoodieTreasure Hunt,3/5,,2024_Fast_FoodieTreasure_Hunt_743.jpg,,,
2024,HTB88,201,'16 Bugatti Chiron,Quarter Mile Heroes,2/5,,2024_Quarter_Mile_Heroes_744.jpg,,,
2024,HTB94,202,Volkswagen ID. Buzz,HW Vans,2/5,,2024_HW_Vans_745.jpg,,,
2024,HRY77,203,Toyota GR86 Cup,HW J-ImportsNew for 2024!,10/10,,2024_HW_J-ImportsNew_for_2024!_746.jpg,,,
2024,HTC23,204,Lamborghini Sesto Elemento,HW Exotics,4/10,,2024_HW_Exotics_747.jpg,,,
2024,HTF55,204,Lamborghini Sesto Elemento (2nd Color - Zamac),HW ExoticsWalmart Exclusive,4/10,,2024_HW_ExoticsWalmart_Exclusive_748.jpg,,,
2024,HRY83,205,Pagani Utopia,HW ExoticsNew for 2024!,5/10,,2024_HW_ExoticsNew_for_2024!_749.jpg,,,
2024,HTC60,206,'77 Pontiac Firebird T/A,Muscle Mania,4/5,,2024_Muscle_Mania_750.jpg,,,
2024,HTF40,206,'77 Pontiac Firebird T/A,Muscle ManiaSuper Treasure Hunt,4/5,,2024_Muscle_ManiaSuper_Treasure_Hun_751.jpg,,,
2024,HTC67,207,Chevy Silverado,Then and Now,3/10,,2024_Then_and_Now_752.jpg,,,
2024,HTC68,208,Deora II,Then and Now,4/10,,2024_Then_and_Now_753.jpg,,,
2024,HRY58,209,Honda S800 Racing,HW Race DayNew for 2024!,10/10,,2024_HW_Race_DayNew_for_2024!_754.jpg,,,
2024,HTB07,210,'99 Ford F-150 SVT Lightning,HW: The '90s,5/10,,2024_HW:_The_'90s_755.jpg,,,
2024,HTB08,211,'96 Nissan 180SX Type X,HW: The '90s,6/10,,2024_HW:_The_'90s_756.jpg,,,
2024,HTF41,211,'96 Nissan 180SX Type X,HW: The '90sSuper Treasure Hunt,6/10,,2024_HW:_The_'90sSuper_Treasure_Hun_757.jpg,,,
2024,HTB28,212,Dune Daddy,HW Dirt,5/10,,2024_HW_Dirt_758.jpg,,,
2024,HRY85,213,Nissan Skyline 2000GT-R LBWK,ToonedNew for 2024!,3/5,,2024_ToonedNew_for_2024!_759.jpg,,,
2024,HTB48,214,Quick Bite,Fast Foodie,4/5,,2024_Fast_Foodie_760.jpg,,,
2024,HTB54,215,'49 Drag Merc,HW Rolling Metal,2/5,,2024_HW_Rolling_Metal_761.jpg,,,
2024,HTF26,216,Hot Wheels Ford Transit Connect,HW VansTreasure Hunt,3/5,,2024_HW_VansTreasure_Hunt_762.jpg,,,
2024,HRY81,217,Ravenger S/T,HW Track ChampsNew for 2024!,5/5,,2024_HW_Track_ChampsNew_for_2024!_763.jpg,,,
2024,HTC24,218,'92 Dodge Viper RT/10,HW Exotics,6/10,,2024_HW_Exotics_764.jpg,,,
2024,HRY86,219,Aston Martin DB4GT High-Speed Edition,Muscle ManiaNew for 2024!,5/5,,2024_Muscle_ManiaNew_for_2024!_765.jpg,,,
2024,HTC69,220,'67 Ford GT40 Mk.IV,Then and Now,5/10,,2024_Then_and_Now_766.jpg,,,
2024,HTF56,220,'67 Ford GT40 Mk.IV (2nd Color - Zamac),Then and NowWalmart Exclusive,5/10,,2024_Then_and_NowWalmart_Exclusive_767.jpg,,,
2024,HTC70,221,Deora III,Then and Now,6/10,,2024_Then_and_Now_768.jpg,,,
2024,HRY87,222,Lamborghini Huracán Sterrato,HW DirtNew for 2024!,6/10,,2024_HW_DirtNew_for_2024!_769.jpg,,,
2024,HTB29,223,Hover Storm,HW Dirt,7/10,,2024_HW_Dirt_770.jpg,,,
2024,HTF27,224,'94 Toyota Supra,Tooned,4/5,,2024_Tooned_771.jpg,,,
2024,HRY88,225,Sushi Tuner,Fast FoodieNew for 2024!,5/5,,2024_Fast_FoodieNew_for_2024!_772.jpg,,,
2024,HTB10,226,'91 GMC Syclone,HW: The '90s,7/10,,2024_HW:_The_'90s_773.jpg,,,
2024,HRY57,227,VW T3 Custom,HW VansNew for 2024!,4/5,,2024_HW_VansNew_for_2024!_774.jpg,,,
2024,HRY92,228,Small Bloc,ToonedNew for 2024!,5/5,,2024_ToonedNew_for_2024!_775.jpg,,,
2024,HTC71,229,2016 Ford GT Race,Then and Now,7/10,,2024_Then_and_Now_776.jpg,,,
2024,HTB02,230,'59 Chevy Impala,HW Celebration RacersDay of the Dead/HalloweenTreasure Hunt,10/10,,2024_HW_Celebration_RacersDay_of_th_777.jpg,,,
2024,HTB87,231,Celero GT,Quarter Mile Heroes,3/5,,2024_Quarter_Mile_Heroes_778.jpg,,,
2024,HTF42,231,Celero GT,Quarter Mile HeroesSuper Treasure Hunt,3/5,,2024_Quarter_Mile_HeroesSuper_Treas_779.jpg,,,
2024,HTB09,232,Toyota Supra,HW: The '90s,8/10,,2024_HW:_The_'90s_780.jpg,,,
2024,HTB30,233,HW Roll Cage,HW Dirt,8/10,,2024_HW_Dirt_781.jpg,,,
2024,HTB31,234,Tred Shredder,HW Dirt,9/10,,2024_HW_Dirt_782.jpg,,,
2024,HRY89,235,Gordon Murray Automotive T.50s,HW ExoticsNew for 2024!,7/10,,2024_HW_ExoticsNew_for_2024!_783.jpg,,,
2024,HTF28,236,DMC DeLorean,HW Rolling MetalTreasure Hunt,3/5,,2024_HW_Rolling_MetalTreasure_Hunt_784.jpg,,,
2024,HTB86,237,Retro-Active,Quarter Mile Heroes,4/5,,2024_Quarter_Mile_Heroes_785.jpg,,,
2024,HRY91,238,Tesla Model S Plaid,Quarter Mile HeroesNew for 2024!,5/5,,2024_Quarter_Mile_HeroesNew_for_202_786.jpg,,,
2024,HTC25,239,Lamborghini Huracán LP 620-2 Super Trofeo,HW Exotics,8/10,,2024_HW_Exotics_787.jpg,,,
2024,HTF43,239,Lamborghini Huracán LP 620-2 Super Trofeo,HW ExoticsSuper Treasure Hunt,8/10,,2024_HW_ExoticsSuper_Treasure_Hunt_788.jpg,,,
2024,HTC26,240,'17 Ford GT,HW Exotics,9/10,,2024_HW_Exotics_789.jpg,,,
2024,HTC27,241,Dodge Viper SRT10 ACR,HW Exotics,10/10,,2024_HW_Exotics_790.jpg,,,
2024,HTC72,242,LB-Silhouette WORKS GT Nissan 35GT-RR VER.2,Then and Now,8/10,,2024_Then_and_Now_791.jpg,,,
2024,HTB11,243,McLaren F1,HW: The '90s,9/10,,2024_HW:_The_'90s_792.jpg,,,
2024,HTB12,244,'98 Subaru Impreza 22B STi-Version,HW: The '90s,10/10,,2024_HW:_The_'90s_793.jpg,,,
2024,HYY23,244,'98 Subaru Impreza 22B STi-Version (2nd Color),HW: The '90sDollar General Exclusive,10/10,,2024_HW:_The_'90sDollar_General_Exc_794.jpg,,,
2024,HTF29,245,Porsche 928S Safari,HW DirtTreasure Hunt,10/10,,2024_HW_DirtTreasure_Hunt_795.jpg,,,
2024,HTB55,246,Tesla Cybertruck,HW Rolling Metal,4/5,,2024_HW_Rolling_Metal_796.jpg,,,
2024,HRY94,247,Hi-Roller II,HW Rolling MetalNew for 2024!,5/5,,2024_HW_Rolling_MetalNew_for_2024!_797.jpg,,,
2024,HTB95,248,Dodge Van,HW Vans,5/5,,2024_HW_Vans_798.jpg,,3736,3385
2024,HYY22,248,Dodge Van (2nd Color),HW VansDollar General Exclusive,5/5,,2024_HW_VansDollar_General_Exclusiv_799.jpg,,,
2024,HTC73,249,'83 Chevy Silverado,Then and Now,9/10,,2024_Then_and_Now_800.jpg,,,
2024,HTF44,249,'83 Chevy Silverado,Then and NowSuper Treasure Hunt,9/10,,2024_Then_and_NowSuper_Treasure_Hun_801.jpg,,,
2024,HYY24,249,'83 Chevy Silverado (2nd Color),Then and NowDollar General Exclusive,9/10,,2024_Then_and_NowDollar_General_Exc_802.jpg,,,
2024,HRY93,250,Ford Mustang Dark Horse,Then and NowNew for 2024!,10/10,,2024_Then_and_NowNew_for_2024!_803.jpg,,,
2023,HKG27,001,Volvo P1800 Gasser,HW Dream GarageNew for 2023!,1/5,,2023_HW_Dream_GarageNew_for_2023!_804.jpg,,,
2023,HKJ94,001,Volvo P1800 Gasser (2nd Color),HW Dream GarageNew for 2023!,1/5,,2023_HW_Dream_GarageNew_for_2023!_805.jpg,,,
2023,HKG79,002,'87 Ford Sierra Cosworth,HW: The '80s,1/10,,2023_HW:_The_'80s_806.jpg,,,
2023,HKL51,002,'87 Ford Sierra Cosworth (2nd Color),HW: The '80sKroger  Exclusive,1/10,,2023_HW:_The_'80sKroger__Exclusive_807.jpg,,,
2023,HKJ59,002,'87 Ford Sierra Cosworth (3rd Color),HW: The '80s,1/10,,2023_HW:_The_'80s_808.jpg,,,
2023,HKG97,003,Classic TV Series Batmobile,Batman,1/5,,2023_Batman_809.jpg,,,
2023,HKL16,003,Classic TV Series Batmobile,BatmanSuper Treasure Hunt,1/5,,2023_BatmanSuper_Treasure_Hunt_810.jpg,,,
2023,HKJ72,003,Classic TV Series Batmobile (2nd Color),Batman,1/5,,2023_Batman_811.jpg,,,
2023,HKG25,004,Ford Escort RS2000,Retro RacersNew for 2023!,1/10,,2023_Retro_RacersNew_for_2023!_812.jpg,,,
2023,HKL43,004,Ford Escort RS2000 (2nd Color),Red EditionNew for 2023!Target Exclusive,1/12,,2023_Red_EditionNew_for_2023!Target_813.jpg,,,
2023,HKJ77,004,Ford Escort RS2000 (3rd Color),Retro RacersNew for 2023!,1/10,,2023_Retro_RacersNew_for_2023!_814.jpg,,,
2023,HKH03,005,Dimachinni Veloce,Retro Racers,2/10,,2023_Retro_Racers_815.jpg,,,
2023,HKJ78,005,Dimachinni Veloce (2nd Color),Retro Racers,2/10,,2023_Retro_Racers_816.jpg,,,
2023,HKH07,006,HW K.I.T.T. Concept,HW Screen Time,1/10,,2023_HW_Screen_Time_817.jpg,,,
2023,HKH15,007,Bricking Trails,Brick Rides,1/5,,2023_Brick_Rides_818.jpg,,,
2023,HKJ85,007,Bricking Trails (2nd Color),Brick Rides,1/5,,2023_Brick_Rides_819.jpg,,,
2023,HKG24,008,Dessert Drifter,Sweet RidesNew for 2023!,1/5,,2023_Sweet_RidesNew_for_2023!_820.jpg,,,
2023,HKJ90,008,Dessert Drifter (2nd Color),Sweet RidesNew for 2023!,1/5,,2023_Sweet_RidesNew_for_2023!_821.jpg,,,
2023,HKH18,009,Sweet Driver,Sweet Rides,2/5,,2023_Sweet_Rides_822.jpg,,,
2023,HKJ91,009,Sweet Driver (2nd Color),Sweet Rides,2/5,,2023_Sweet_Rides_823.jpg,,,
2023,HKK98,010,Raijin Express,HW HaulersTreasure Hunt,1/5,,2023_HW_HaulersTreasure_Hunt_824.jpg,,,
2023,HKH24,011,Fast-Bed Hauler,HW Haulers,2/5,,2023_HW_Haulers_825.jpg,,,
2023,HKJ97,011,Fast-Bed Hauler (2nd Color),HW Haulers,2/5,,2023_HW_Haulers_826.jpg,,,
2023,HKH36,012,Roadster Bite,HW Roadsters,1/10,,2023_HW_Roadsters_827.jpg,,,
2023,HKK07,012,Roadster Bite (2nd Color),HW Roadsters,1/10,,2023_HW_Roadsters_828.jpg,,,
2023,HKH37,013,'17 Pagani Huayra Roadster,HW Roadsters,2/10,,2023_HW_Roadsters_829.jpg,,,
2023,HKL23,013,'17 Pagani Huayra Roadster (2nd Color - Zamac),HW RoadstersWalmart Exclusive,2/10,,2023_HW_RoadstersWalmart_Exclusive_830.jpg,,,
2023,HKK08,013,'17 Pagani Huayra Roadster (3rd Color),HW Roadsters,2/10,,2023_HW_Roadsters_831.jpg,,,
2023,HKH38,014,Corvette Grand Sport Roadster,HW Roadsters,3/10,,2023_HW_Roadsters_832.jpg,,,
2023,HKL44,014,Corvette Grand Sport Roadster (2nd Color),HW RoadstersKroger Exclusive,3/10,,2023_HW_RoadstersKroger_Exclusive_833.jpg,,,
2023,HKK09,014,Corvette Grand Sport Roadster (3rd Color),HW Roadsters,3/10,,2023_HW_Roadsters_834.jpg,,,
2023,HKH45,015,Track Manga,HW Art Cars,1/10,,2023_HW_Art_Cars_835.jpg,,,
2023,HKK14,015,Track Manga (2nd Color),HW Art Cars,1/10,,2023_HW_Art_Cars_836.jpg,,,
2023,HKK15,015,Track Manga (3rd Color),HW Art Cars,1/10,,2023_HW_Art_Cars_837.jpg,,,
2023,HKH46,016,70s Van,HW Art Cars,2/10,,2023_HW_Art_Cars_838.jpg,,,
2023,HKL24,016,70s Van (2nd Color - Zamac),HW Art CarsWalmart Exclusive,2/10,,2023_HW_Art_CarsWalmart_Exclusive_839.jpg,,,
2023,HKK16,016,70s Van (3rd Color),HW Art Cars,2/10,,2023_HW_Art_Cars_840.jpg,,,
2023,HKH85,017,LB Super Silhouette Nissan Silvia (S15),HW Modified,1/5,,2023_HW_Modified_841.jpg,,,
2023,HKL52,017,LB Super Silhouette Nissan Silvia (S15) (2nd Color),Red EditionTarget Exclusive,2/12,,2023_Red_EditionTarget_Exclusive_842.jpg,,,
2023,HKK47,017,LB Super Silhouette Nissan Silvia (S15) (3rd Color),HW Modified,1/5,,2023_HW_Modified_843.jpg,,,
2023,HKH83,018,1970 Pontiac Firebird,HW Modified,2/5,,2023_HW_Modified_844.jpg,,,
2023,HKK48,018,1970 Pontiac Firebird (2nd Color),HW ModifiedKroger Exclusive,2/5,,2023_HW_ModifiedKroger_Exclusive_845.jpg,,,
2023,HKK49,018,1970 Pontiac Firebird (3rd Color),HW Modified,2/5,,2023_HW_Modified_846.jpg,,,
2023,HKH88,019,Airuption,Sky Show,1/5,,2023_Sky_Show_847.jpg,,,
2023,HKK51,019,Airuption (2nd Color),Sky Show,1/5,,2023_Sky_Show_848.jpg,,,
2023,HKG23,020,Nissan Patrol Custom,HW J-ImportsNew for 2023!,1/10,,2023_HW_J-ImportsNew_for_2023!_849.jpg,,,
2023,HKL46,020,Nissan Patrol Custom (2nd Color),HW J-ImportsNew for 2023!Kroger  Exclusive,1/10,,2023_HW_J-ImportsNew_for_2023!Kroge_850.jpg,,,
2023,HKK61,020,Nissan Patrol Custom (3rd Color),HW J-ImportsNew for 2023!,1/10,,2023_HW_J-ImportsNew_for_2023!_851.jpg,,,
2023,HKJ10,021,Subaru WRX STI,HW J-Imports,2/10,,2023_HW_J-Imports_852.jpg,,,
2023,HKK62,021,Subaru WRX STI (2nd Color),HW J-Imports,2/10,,2023_HW_J-Imports_853.jpg,,,
2023,HKK63,021,Subaru WRX STI (3rd Color),HW J-Imports,2/10,,2023_HW_J-Imports_854.jpg,,,
2023,HKG26,022,Draggin' Wagon,ExperimotorsNew for 2023!,1/5,,2023_ExperimotorsNew_for_2023!_855.jpg,,,
2023,HKK71,022,Draggin' Wagon (2nd Color),ExperimotorsNew for 2023!,1/5,,2023_ExperimotorsNew_for_2023!_856.jpg,,,
2023,HKJ26,023,Coupe Clip,Experimotors,2/5,,2023_Experimotors_857.jpg,,,
2023,HKK72,023,Coupe Clip (2nd Color),Experimotors,2/5,,2023_Experimotors_858.jpg,,,
2023,HKJ32,024,Surfin' School Bus,Surf's Up,1/5,,2023_Surf's_Up_859.jpg,,,
2023,HKK79,024,Surfin' School Bus (2nd Color),Surf's Up,1/5,,2023_Surf's_Up_860.jpg,,,
2023,HKG80,025,'84 Mustang SVO,HW: The '80s,2/10,,2023_HW:_The_'80s_861.jpg,,,
2023,HKJ60,025,'84 Mustang SVO (2nd Color),HW: The '80s,2/10,,2023_HW:_The_'80s_862.jpg,,,
2023,HKG82,026,'80 El Camino,HW: The '80s,3/10,,2023_HW:_The_'80s_863.jpg,,,
2023,HKL35,026,'80 El Camino (2nd Color),HW: The '80sDollar General Exclusive,3/10,,2023_HW:_The_'80sDollar_General_Exc_864.jpg,,,
2023,HKJ61,026,'80 El Camino (3rd Color),HW: The '80s,3/10,,2023_HW:_The_'80s_865.jpg,,,
2023,HKH02,027,Mercedes-Benz 300 SL,Retro Racers,3/10,,2023_Retro_Racers_866.jpg,,,
2023,HKL09,027,Mercedes-Benz 300 SL,Retro RacersSuper Treasure Hunt,3/10,,2023_Retro_RacersSuper_Treasure_Hun_867.jpg,,,
2023,HKH01,028,Mazda 787B,Retro RacersNew in Mainline,4/10,,2023_Retro_RacersNew_in_Mainline_868.jpg,,,
2023,HKL36,028,Mazda 787B (2nd Color),Retro RacersNew in MainlineDollar General Exclusive,4/10,,2023_Retro_RacersNew_in_MainlineDol_869.jpg,,,
2023,HKJ79,028,Mazda 787B (3rd Color),Retro RacersNew in Mainline,4/10,,2023_Retro_RacersNew_in_Mainline_870.jpg,,,
2023,GRX17,029,Standard Kart,HW Screen Time,2/10,,2023_HW_Screen_Time_871.jpg,,,
2023,HKH16,030,Custom Small Block,Brick Rides,2/5,,2023_Brick_Rides_872.jpg,,,
2023,HKJ86,030,Custom Small Block (2nd Color),Brick Rides,2/5,,2023_Brick_Rides_873.jpg,,,
2023,HKH19,031,Quick Bite,Sweet Rides,3/5,,2023_Sweet_Rides_874.jpg,,,
2023,HKJ92,031,Quick Bite (2nd Color),Sweet Rides,3/5,,2023_Sweet_Rides_875.jpg,,,
2023,HKJ49,032,Rodger Dodger,HW Dream Garage,2/5,,2023_HW_Dream_Garage_876.jpg,,,
2023,HKH25,033,Baja Hauler,HW Haulers,3/5,,2023_HW_Haulers_877.jpg,,,
2023,HKJ98,033,Baja Hauler (2nd Color),HW Haulers,3/5,,2023_HW_Haulers_878.jpg,,,
2023,HKH41,034,Corvette C7 Z06 Convertible,HW Roadsters,4/10,,2023_HW_Roadsters_879.jpg,,,
2023,HKL37,034,Corvette C7 Z06 Convertible (2nd Color),HW RoadstersDollar General Exclusive,4/10,,2023_HW_RoadstersDollar_General_Exc_880.jpg,,,
2023,HKK10,034,Corvette C7 Z06 Convertible (3rd Color),HW Roadsters,4/10,,2023_HW_Roadsters_881.jpg,,,
2023,HKH47,035,Baja Bone Shaker,HW Art Cars,3/10,,2023_HW_Art_Cars_882.jpg,,,
